molecule_chembl_id,canonical_smiles,standard_value,bio_class
CHEMBL573101,C=C(C)[C@@H]1CC[C@@]2(C)[C@@H]1[C@@H]1CC[C@@H]3[C@@](C)(CC(=O)O)[C@H](C(C)(C)C(=O)O)CC[C@@]3(C)[C@]1(C)C[C@@H]2O,10900.0,inactive
CHEMBL575468,CC(C)[C@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,14600.0,inactive
CHEMBL573333,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@@H](CC[C@@H]4[C@@](C)(CC(=O)O)[C@H](C(C)(C)C(=O)O)CC[C@]43C)[C@H]12,15700.0,inactive
CHEMBL573823,CC1(C)C(=O)C(O)=C[C@]2(C)[C@H]3C(=O)C[C@@H]4[C@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,15800.0,inactive
CHEMBL575187,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@](C)(CC(=O)O)[C@H](C(C)(C)C(=O)O)CC[C@]43C)[C@H]12,17600.0,inactive
CHEMBL574281,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@@H](CC[C@@H]4[C@@]5(C)C=C(O)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,18800.0,inactive
CHEMBL573351,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C=C(O)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]2C1,19200.0,inactive
CHEMBL575822,COC(=O)[C@@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(C)C,21300.0,inactive
CHEMBL573350,CC1(C)C(=O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,23600.0,inactive
CHEMBL576173,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@@H](CC[C@@H]4[C@@]5(C)C=C(O)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,24600.0,inactive
CHEMBL575701,COC(=O)[C@@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(C)C,24600.0,inactive
CHEMBL572885,C[C@@H]1[C@H]2[C@H]3CC[C@@H]4[C@@]5(C)C=C(O)C(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,25400.0,inactive
CHEMBL578646,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@@H](CC[C@@H]4[C@@](C)(CC(=O)O)[C@H](C(C)(C)C(=O)O)CC[C@]43C)[C@H]12,25400.0,inactive
CHEMBL574496,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]2C1,27400.0,inactive
CHEMBL576367,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]2C1,28600.0,inactive
CHEMBL574497,CC1(C)CC[C@]2(CO)CC[C@]3(C)C(=CC[C@@H]4[C@@](C)(CC(=O)O)[C@H](C(C)(C)C(=O)O)CC[C@]43C)[C@H]2C1,30400.0,inactive
CHEMBL577582,C=C(C)[C@@H]1CC[C@]2(C=O)CC[C@]3(C)[C@@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,31900.0,inactive
CHEMBL576006,COC(=O)[C@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(C)C,32300.0,inactive
CHEMBL575879,COC(=O)[C@@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(C)C,37000.0,inactive
CHEMBL487887,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,37500.0,inactive
CHEMBL576008,CC(C)[C@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)C=C(O)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,40500.0,inactive
